C_584313,T_20
C_597229,T_43
C_597365,T_155
C_629503,T_204
C_629503,T_206
C_629520,T_223
C_654505,T_82
C_654505,T_78
C_654551,T_21
C_654554,T_135
C_655850,T_172
C_655850,T_176
C_655850,T_177
C_674921,T_47
C_674942,T_334
C_674942,T_338
C_676635,T_376
C_676642,T_399
C_676642,T_400
C_676642,T_401
C_676645,T_403
C_676645,T_405
C_676663,T_428
C_676673,T_445
C_676673,T_448
C_676673,T_452
C_676683,T_455
C_676685,T_464
C_676696,T_478
C_676897,T_5152
C_676902,T_507
C_676905,T_514
C_676907,T_515
C_676923,T_527
C_676923,T_537
C_676937,T_540
C_676953,T_577
C_676966,T_579
C_676969,T_472
C_676975,T_664
C_677009,T_736
C_677014,T_211
C_677014,T_745
C_677019,T_756
C_677023,T_626
C_677038,T_43
C_677045,T_11
C_677045,T_765
C_677047,T_196
C_677047,T_807
C_677066,T_172
C_677089,T_943
C_677102,T_9451
C_677102,T_9453
C_677145,T_386
C_677146,T_1052
C_677164,T_1079
C_677164,T_1081
C_677168,T_1094
C_677174,T_10007
C_677176,T_1122
C_677181,T_1129
C_677184,T_1133
C_677192,T_1146
C_677218,T_1199
C_677243,T_1227
C_677246,T_867
C_680717,T_1252
C_680717,T_1254
C_680717,T_1246
C_680726,T_1267
C_680732,T_1270
C_680732,T_1276
C_680740,T_1269
C_680741,T_1284
C_680745,T_1286
C_680752,T_640
C_680753,T_218
C_680754,T_1293
C_680761,T_1300
C_680761,T_1302
C_680765,T_1314
C_680768,T_1320
C_680784,T_1359
C_680785,T_1364
C_680785,T_1367
C_680802,T_1387
C_680807,T_1398
C_680811,T_1401
C_680817,T_1409
C_680820,T_1425
C_680824,T_1437
C_680828,T_1447
C_680841,T_1470
C_680849,T_1477
C_680854,T_1093
C_680854,T_1487
C_680859,T_1495
C_680870,T_1510
C_680877,T_1517
C_680877,T_1518
C_680881,T_1520
C_680891,T_1529
C_680894,T_1532
C_680894,T_1533
C_680894,T_1535
C_680895,T_1538
C_680903,T_1551
C_680905,T_1553
C_680906,T_1557
C_680906,T_1558
C_680910,T_1562
C_680926,T_1583
C_680927,T_1584
C_680936,T_1594
C_680937,T_1600
C_680952,T_1625
C_680958,T_10343
C_680963,T_1647
C_680968,T_1653
C_680976,T_1663
C_680979,T_1670
C_680981,T_1684
C_680984,T_1695
C_680988,T_1713
C_680989,T_4463
C_680990,T_1719
C_680990,T_1723
C_680992,T_7377
C_680993,T_6590
C_680999,T_1736
C_680999,T_1737
C_681001,T_1746
C_681009,T_1772
C_681009,T_1773
C_681011,T_1782
C_681017,T_1792
C_681021,T_1793
C_681027,T_1821
C_681030,T_1835
C_681030,T_1836
C_681030,T_1845
C_681031,T_1878
C_681031,T_1881
C_681031,T_5393
C_681031,T_1863
C_681038,T_1899
C_681043,T_1901
C_681048,T_1908
C_681048,T_1909
C_681049,T_1910
C_681058,T_1915
C_681063,T_1203
C_681066,T_1922
C_681068,T_1925
C_681068,T_11645
C_681073,T_1934
C_681074,T_1938
C_681076,T_4736
C_681080,T_1962
C_681083,T_1979
C_681087,T_1989
C_681090,T_2006
C_681090,T_2007
C_681099,T_2024
C_681103,T_36
C_681110,T_2042
C_681114,T_5901
C_681114,T_340
C_681114,T_345
C_681154,T_6482
C_681158,T_2061
C_681158,T_2062
C_681183,T_2073
C_681212,T_2085
C_681255,T_9534
C_681260,T_2089
C_681272,T_2097
C_681281,T_2087
C_681308,T_2108
C_681328,T_2114
C_681333,T_2129
C_681339,T_2136
C_681348,T_2152
C_681353,T_2161
C_681353,T_2163
C_681353,T_2171
C_681365,T_4777
C_681373,T_4742
C_681380,T_2190
C_681389,T_2199
C_681407,T_2224
C_681414,T_2235
C_681415,T_2244
C_681429,T_2248
C_681429,T_2251
C_681429,T_2252
C_681452,T_2275
C_681460,T_2285
C_681460,T_2287
C_681460,T_2292
C_681470,T_2305
C_681470,T_2301
C_681470,T_2302
C_681471,T_2309
C_681481,T_2322
C_681481,T_2324
C_681488,T_2329
C_681491,T_2337
C_681519,T_2356
C_681556,T_2393
C_681560,T_2401
C_681619,T_2441
C_681622,T_2450
C_681633,T_2128
C_681638,T_2469
C_681645,T_2481
C_681645,T_2482
C_681661,T_2512
C_681661,T_2515
C_681663,T_2519
C_681663,T_2526
C_681664,T_2536
C_681669,T_2539
C_681669,T_2541
C_681682,T_2555
C_681684,T_2568
C_681688,T_2579
C_681690,T_5793
C_681691,T_2554
C_681696,T_2589
C_681696,T_2591
C_681701,T_2605
C_681706,T_2609
C_681708,T_2616
C_681711,T_6818
C_681715,T_2627
C_681715,T_2633
C_681715,T_2634
C_681730,T_2652
C_681730,T_5341
C_681731,T_2655
C_681735,T_8741
C_681740,T_2676
C_681743,T_89
C_681745,T_2681
C_681745,T_2686
C_681747,T_2690
C_681770,T_2740
C_681770,T_2741
C_681770,T_2743
C_681771,T_2747
C_681779,T_2753
C_681785,T_2755
C_681789,T_2759
C_681791,T_2768
C_681795,T_2766
C_681801,T_2773
C_681810,T_2777
C_681810,T_2779
C_681813,T_2783
C_681848,T_2795
C_681848,T_559
C_681852,T_2808
C_681858,T_2820
C_681867,T_2834
C_681872,T_2841
C_681880,T_2847
C_681934,T_2912
C_681935,T_2916
C_681937,T_2922
C_681945,T_2940
C_681952,T_2968
C_681955,T_55
C_681955,T_58
C_681956,T_2977
C_681962,T_2989
C_681971,T_2997
C_681971,T_2998
C_681971,T_3004
C_681984,T_3018
C_681984,T_3020
C_681986,T_3026
C_681992,T_3046
C_681996,T_3056
C_681998,T_3061
C_682000,T_3073
C_682005,T_3086
C_682006,T_3089
C_682007,T_3099
C_682007,T_3100
C_682008,T_3102
C_682015,T_2688
C_682131,T_3067
C_682152,T_3133
C_682168,T_3001
C_682170,T_3143
C_682171,T_5984
C_682183,T_3157
C_682184,T_2869
C_682190,T_1053
C_682219,T_3175
C_682233,T_3193
C_682239,T_3198
C_682247,T_3218
C_682247,T_3221
C_682261,T_3238
C_682261,T_3239
C_682261,T_732
C_682266,T_2750
C_682268,T_9367
C_682269,T_3255
C_682269,T_3257
C_682277,T_3265
C_682284,T_1824
C_682284,T_2753
C_682285,T_4879
C_682303,T_3284
C_682310,T_3017
C_682322,T_3300
C_682324,T_743
C_682327,T_3317
C_682330,T_2767
C_682330,T_2766
C_682330,T_2763
C_682344,T_3028
C_682345,T_1438
C_682345,T_2765
C_682349,T_3335
C_682353,T_3338
C_682360,T_1961
C_682360,T_1963
C_682372,T_2888
C_682372,T_2889
C_682392,T_5003
C_682395,T_420
C_682401,T_3040
C_682442,T_796
C_682458,T_3413
C_682479,T_1020
C_682487,T_3443
C_682489,T_3446
C_682489,T_3447
C_682489,T_3452
C_682505,T_3462
C_682506,T_3467
C_682506,T_3474
C_682516,T_3489
C_682520,T_3493
C_682522,T_3499
C_682523,T_3495
C_682525,T_3502
C_682530,T_3086
C_682530,T_11728
C_682534,T_3524
C_682556,T_3536
C_682567,T_3559
C_682578,T_3577
C_682581,T_3582
C_682589,T_803
C_682618,T_3626
C_682656,T_2988
C_682656,T_2990
C_682656,T_9701
C_682672,T_3667
C_682684,T_3674
C_682684,T_3676
C_682692,T_3124
C_682696,T_3687
C_682696,T_3688
C_682713,T_743
C_682731,T_3708
C_682731,T_3709
C_682747,T_3725
C_682753,T_1574
C_682772,T_1615
C_682792,T_1689
C_682813,T_1954
C_682813,T_1955
C_685664,T_1637
C_685664,T_2793
C_685664,T_2794
C_685676,T_2920
C_685676,T_4594
C_688346,T_2968
C_688387,T_3380
C_694141,T_1383
C_694144,T_3767
C_694147,T_3772
C_694147,T_3774
C_694149,T_3769
C_694149,T_3777
C_694158,T_3166
C_694158,T_3784
C_694160,T_4723
C_694163,T_3808
C_694163,T_3807
C_696487,T_652
C_696541,T_393
C_696554,T_34
C_696554,T_37
C_696563,T_144
C_696571,T_3815
C_696571,T_3819
C_696586,T_5174
C_696601,T_611
C_696625,T_932
C_696633,T_925
C_696633,T_926
C_696635,T_164
C_696635,T_165
C_696643,T_907
C_696647,T_485
C_696651,T_701
C_696656,T_899
C_696656,T_903
C_696666,T_877
C_696666,T_881
C_696666,T_886
C_696679,T_765
C_696689,T_3844
C_696704,T_6476
C_696732,T_1166
C_696732,T_1167
C_696740,T_3860
C_696740,T_3863
C_696740,T_3866
C_696753,T_3871
C_696759,T_994
C_696771,T_1142
C_696771,T_1144
C_696773,T_789
C_696785,T_3875
C_696788,T_814
C_696788,T_815
C_696789,T_6129
C_696796,T_1115
C_696836,T_2688
C_696837,T_3880
C_696841,T_827
C_696860,T_1092
C_696863,T_2595
C_696863,T_2603
C_696863,T_2602
C_696864,T_214
C_696864,T_216
C_696867,T_1019
C_696872,T_1119
C_696883,T_1269
C_696886,T_1101
C_696904,T_5109
C_696915,T_1173
C_696915,T_1175
C_696915,T_1178
C_696918,T_995
C_696923,T_1165
C_696925,T_2029
C_696928,T_7067
C_696931,T_949
C_696938,T_2293
C_696938,T_4048
C_696945,T_1070
C_696947,T_3600
C_696955,T_268
C_696955,T_377
C_696955,T_1011
C_696955,T_1012
C_696958,T_351
C_696964,T_1188
C_696964,T_1191
C_696972,T_61
C_696972,T_68
C_696972,T_69
C_696972,T_64
C_696980,T_240
C_696983,T_10725
C_696987,T_3897
C_697000,T_1269
C_697012,T_140
C_697018,T_873
C_697020,T_3643
C_697024,T_1050
C_697025,T_88
C_697027,T_1041
C_697041,T_250
C_697053,T_35
C_697059,T_2946
C_697059,T_2947
C_697059,T_2953
C_697067,T_3551
C_697071,T_13624
C_697083,T_3339
C_697083,T_3341
C_697083,T_3344
C_697083,T_3345
C_697094,T_732
C_697094,T_726
C_697106,T_671
C_697108,T_117
C_697108,T_118
C_697126,T_6252
C_697129,T_3927
C_697135,T_3365
C_697142,T_1485
C_697147,T_3461
C_697158,T_1908
C_697164,T_235
C_697169,T_427
C_697169,T_430
C_697169,T_569
C_697173,T_667
C_697184,T_1515
C_697191,T_58
C_697212,T_11200
C_697229,T_1233
C_697229,T_1235
C_697253,T_186
C_697265,T_101
C_697265,T_102
C_697273,T_604
C_697273,T_606
C_697273,T_607
C_697289,T_622
C_697299,T_44
C_697374,T_181
C_697375,T_2872
C_697398,T_595
C_697407,T_599
C_697415,T_4599
C_697471,T_3935
C_697475,T_1183
C_697493,T_152
C_697496,T_3535
C_697556,T_963
C_697584,T_940
C_697585,T_1158
C_697602,T_1018
C_697677,T_847
C_697677,T_849
C_697677,T_853
C_697729,T_2329
C_697757,T_3953
C_697825,T_1288
C_707022,T_302
C_707025,T_218
C_707051,T_3021
C_707054,T_3371
C_707067,T_231
C_707099,T_917
C_707112,T_1749
C_707112,T_1754
C_707119,T_784
C_707125,T_796
C_707127,T_4607
C_707135,T_85
C_707135,T_87
C_707221,T_3950
C_707360,T_3976
C_707384,T_3989
C_734015,T_4066
C_734021,T_4074
